GEMEENTE	AUTO	Aantal Gebruikers	Aantal ritten	Duur ritten (min)	Duur reservering (min)	AFSTAND (km)	Verschil met doel (gebaseerd op km)	km gereden / duurtijd rit (uur)	Tijd gereden / Tijd gereserveerd	Opmerking																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Lea	4	15	15480	14956	453.3	-72%	1.76	104%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Zazou	4	15	5962	5876	353.6	-78%	3.56	101%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Luminus	4	4	1596	1579	348.6	-78%	13.11	101%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Rox	5	10	4034	4008	331.1	-79%	4.92	101%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Xenner	5	9	1565	1533	245.7	-85%	9.42	102%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Maxwell	3	9	1861	1799	232.5	-85%	7.50	103%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Borealis	4	4	420	416	105.1	-93%	15.01	101%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Gent	Partago Free Float 04	1	1	15	15	5.2	-100%	20.80	100%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Halle	Partago Poll	3	43	11826	11211	904.9	-43%	4.59	105%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Hemiksem	Partago Helena	2	1	671	671	46.5	-97%	4.16	100%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Huizingen	Partago Igor	5	11	5633	5447	635.5	-60%	6.77	103%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Leuven	Partago Krissy	8	9	15403	15253	1417	-11%	5.52	101%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Leuven	Partago Ganda	10	17	14221	12724	1265.6	-21%	5.34	112%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Leuven	Partago Eon	7	17	10390	8491	1231.6	-23%	7.11	122%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Leuven	Partago Seven	10	18	21545	21343	768	-52%	2.14	101%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Leuven	Partago Oude Baan	3	3	8032	7673	492.7	-69%	3.68	105%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Lint	Partago Socrates	8	17	5279	5084	1012.7	-37%	11.51	104%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Merelbeke	Partago Flora	9	36	10051	9475	1777.5	11%	10.61	106%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Mortsel	Partago Edison	9	9	26842	26665	3166.3	98%	7.08	101%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Mortsel	Partago Opnieuw&Co Vredebaan	5	15	19298	18933	1866.4	17%	5.80	102%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Mortsel	Partago Faraday	8	24	11012	9407	1133	-29%	6.17	117%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Mortsel	Partago Mandela	7	12	22203	21558	1104.8	-31%	2.99	103%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Mortsel	Partago Quinten	3	9	6761	6733	331	-79%	2.94	100%	v																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
Wetteren	Partago Hera	4	15	9244	8479	849.7	-47%	5.52	109%																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
Wijnegem	Partago Winnie	7	25	16775	15960	1436.9	-10%	5.14	105%	OPSTARTFORMULE																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																	
